"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**";"MountingHole_3.5mm_Pad_Via";4;"MountingHole_3.5mm_Pad_Via";;;
2;"D2";"D_A-405_P10.16mm_Horizontal";1;"D";;;
3;"RLY4,RLY8,RLY3,RLY7";"relay_V23101-D1";4;"RELAY_V23101-D1";;;
4;"C1,C2";"CP_Radial_D10.0mm_P5.00mm";2;"CP1_Small";;;
5;"D1";"D_A-405_P10.16mm_Horizontal";1;"D_Zener";;;
6;"L1";"C_Disc_D9.0mm_W5.0mm_P10.00mm";1;"L";;;
7;"P3";"TerminalBlock_Pheonix_MKDS1.5-2pol";1;"CONN_01X02";;;
8;"R1,R2,R3,R4,R5,R6,R7,R8,10k1,10k2,10k3,10k4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";12;"R";;;
9;"R9,R10,R11,R12,R13,R14,R15,R16";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";8;"10k";;;
10;"R17";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"6.1k";;;
11;"R18";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"2.2k";;;
12;"U1";"TO-220-5_Pentawatt_Multiwatt-5_Horizontal_StaggeredType1";1;"TL2575";;;
13;"U2,U3,U4,U5";"DIP-8_W7.62mm_LongPads";4;"TLP627-2";;;
14;"P1,P2,P6,P7";"mstba_2,5%2f8-g-5,08";4;"CONN_01X08";;;
15;"J1";"arduino_header";1;"Arduino_Header";;;
16;"P4";"Pin_Header_Straight_1x03_Pitch2.54mm";1;"CONN_01X03";;;
17;"Q1,Q2,Q3,Q4";"TO-220_Vertical";4;"IRF540N";;;
18;"R19,R20,R21,R22";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"330";;;
19;"U6,U7,U8,U9";"DIP-6_W7.62mm";4;"4N25";;;
20;"D3,D4,D5,D6";"D_A-405_P2.54mm_Vertical_KathodeUp";4;"20v";;;
